🎯 Sovereign Watcher: Monitoring for Prop Firm One-Shot Entry...
📊 Target Entry: $69,050
🛡️ Stop Loss: $68,650
🚀 Take Profit: $73,750
📦 Position Size: 0.75 BTC
--------------------------------------------------
⌛ 05:38:09 | BTC: $69,672.07 | Distance to Entry: $622.07
⌛ 05:38:39 | BTC: $69,663.21 | Distance to Entry: $613.21
⌛ 05:39:09 | BTC: $69,663.77 | Distance to Entry: $613.77
⌛ 05:39:39 | BTC: $69,666.21 | Distance to Entry: $616.21
⌛ 05:40:10 | BTC: $69,674.12 | Distance to Entry: $624.12
⌛ 05:40:40 | BTC: $69,659.74 | Distance to Entry: $609.74
⌛ 05:41:10 | BTC: $69,659.75 | Distance to Entry: $609.75
⌛ 09:31:03 | BTC: $69,294.44 | Distance to Entry: $244.44
⌛ 09:31:34 | BTC: $69,300.01 | Distance to Entry: $250.01
⌛ 09:32:04 | BTC: $69,293.03 | Distance to Entry: $243.03
⌛ 09:32:34 | BTC: $69,338.83 | Distance to Entry: $288.83
⌛ 09:33:04 | BTC: $69,352.92 | Distance to Entry: $302.92
⌛ 09:33:34 | BTC: $69,414.99 | Distance to Entry: $364.99
⌛ 09:34:04 | BTC: $69,415.38 | Distance to Entry: $365.38
⌛ 09:34:34 | BTC: $69,419.11 | Distance to Entry: $369.11
⌛ 09:35:04 | BTC: $69,439.99 | Distance to Entry: $389.99
⌛ 09:35:34 | BTC: $69,419.87 | Distance to Entry: $369.87
⌛ 09:36:05 | BTC: $69,423.96 | Distance to Entry: $373.96
⌛ 09:36:35 | BTC: $69,455.73 | Distance to Entry: $405.73
⌛ 09:37:05 | BTC: $69,454.13 | Distance to Entry: $404.13
⌛ 09:37:35 | BTC: $69,458.25 | Distance to Entry: $408.25
⌛ 09:38:05 | BTC: $69,489.79 | Distance to Entry: $439.79
⌛ 09:38:35 | BTC: $69,495.91 | Distance to Entry: $445.91
⌛ 09:39:05 | BTC: $69,492.00 | Distance to Entry: $442.00
⌛ 09:39:35 | BTC: $69,498.12 | Distance to Entry: $448.12
⌛ 09:40:06 | BTC: $69,415.90 | Distance to Entry: $365.90
⌛ 09:40:36 | BTC: $69,336.72 | Distance to Entry: $286.72
⌛ 09:41:06 | BTC: $69,337.99 | Distance to Entry: $287.99
⌛ 09:41:36 | BTC: $69,316.28 | Distance to Entry: $266.28
⌛ 09:42:06 | BTC: $69,351.24 | Distance to Entry: $301.24
⌛ 09:42:36 | BTC: $69,353.92 | Distance to Entry: $303.92
⌛ 09:43:06 | BTC: $69,380.68 | Distance to Entry: $330.68
⌛ 09:43:36 | BTC: $69,349.15 | Distance to Entry: $299.15
⌛ 09:44:07 | BTC: $69,376.96 | Distance to Entry: $326.96
⌛ 09:44:37 | BTC: $69,376.98 | Distance to Entry: $326.98
⌛ 09:45:07 | BTC: $69,436.62 | Distance to Entry: $386.62
⌛ 09:45:37 | BTC: $69,407.10 | Distance to Entry: $357.10
⌛ 09:46:07 | BTC: $69,435.88 | Distance to Entry: $385.88
⌛ 09:46:37 | BTC: $69,485.75 | Distance to Entry: $435.75
⌛ 09:47:07 | BTC: $69,495.40 | Distance to Entry: $445.40
⌛ 09:47:37 | BTC: $69,477.98 | Distance to Entry: $427.98
⌛ 09:48:08 | BTC: $69,514.74 | Distance to Entry: $464.74
⌛ 09:48:38 | BTC: $69,498.37 | Distance to Entry: $448.37
⌛ 09:49:08 | BTC: $69,562.99 | Distance to Entry: $512.99
⌛ 09:49:38 | BTC: $69,546.00 | Distance to Entry: $496.00
⌛ 09:50:08 | BTC: $69,468.88 | Distance to Entry: $418.88
⌛ 09:50:38 | BTC: $69,513.17 | Distance to Entry: $463.17
⌛ 09:51:08 | BTC: $69,472.04 | Distance to Entry: $422.04
⌛ 09:51:38 | BTC: $69,402.97 | Distance to Entry: $352.97
⌛ 09:52:08 | BTC: $69,362.14 | Distance to Entry: $312.14
⌛ 09:52:39 | BTC: $69,289.07 | Distance to Entry: $239.07
⌛ 09:53:09 | BTC: $69,290.01 | Distance to Entry: $240.01
⌛ 09:53:39 | BTC: $69,307.19 | Distance to Entry: $257.19
⌛ 09:54:09 | BTC: $69,339.83 | Distance to Entry: $289.83
⌛ 09:54:39 | BTC: $69,348.37 | Distance to Entry: $298.37
⌛ 09:55:09 | BTC: $69,303.74 | Distance to Entry: $253.74
⌛ 09:55:39 | BTC: $69,318.35 | Distance to Entry: $268.35
⌛ 09:56:09 | BTC: $69,331.98 | Distance to Entry: $281.98
⌛ 09:56:39 | BTC: $69,317.55 | Distance to Entry: $267.55
⌛ 09:57:10 | BTC: $69,378.12 | Distance to Entry: $328.12
⌛ 09:57:40 | BTC: $69,382.26 | Distance to Entry: $332.26
⌛ 09:58:10 | BTC: $69,394.26 | Distance to Entry: $344.26
⌛ 09:58:40 | BTC: $69,433.96 | Distance to Entry: $383.96
⌛ 09:59:10 | BTC: $69,404.66 | Distance to Entry: $354.66
⌛ 09:59:40 | BTC: $69,416.84 | Distance to Entry: $366.84
⌛ 10:00:10 | BTC: $69,445.41 | Distance to Entry: $395.41
⌛ 10:00:40 | BTC: $69,442.65 | Distance to Entry: $392.65
⌛ 10:01:11 | BTC: $69,448.99 | Distance to Entry: $398.99
⌛ 10:01:41 | BTC: $69,449.83 | Distance to Entry: $399.83
⌛ 10:02:11 | BTC: $69,402.97 | Distance to Entry: $352.97
⌛ 10:02:41 | BTC: $69,378.76 | Distance to Entry: $328.76
⌛ 10:03:11 | BTC: $69,407.10 | Distance to Entry: $357.10
⌛ 10:03:41 | BTC: $69,409.32 | Distance to Entry: $359.32
⌛ 10:04:11 | BTC: $69,407.88 | Distance to Entry: $357.88
⌛ 10:04:41 | BTC: $69,400.74 | Distance to Entry: $350.74
⌛ 10:05:12 | BTC: $69,424.86 | Distance to Entry: $374.86
⌛ 10:05:42 | BTC: $69,382.25 | Distance to Entry: $332.25
⌛ 10:06:12 | BTC: $69,426.57 | Distance to Entry: $376.57
⌛ 10:06:42 | BTC: $69,460.92 | Distance to Entry: $410.92
⌛ 10:07:12 | BTC: $69,460.92 | Distance to Entry: $410.92
⌛ 10:07:42 | BTC: $69,384.00 | Distance to Entry: $334.00
⌛ 10:08:12 | BTC: $69,387.79 | Distance to Entry: $337.79
⌛ 10:08:43 | BTC: $69,346.00 | Distance to Entry: $296.00
⌛ 10:09:13 | BTC: $69,369.84 | Distance to Entry: $319.84
⌛ 10:09:43 | BTC: $69,408.00 | Distance to Entry: $358.00
⌛ 10:10:13 | BTC: $69,389.10 | Distance to Entry: $339.10
⌛ 10:10:43 | BTC: $69,398.89 | Distance to Entry: $348.89
⌛ 10:11:13 | BTC: $69,408.60 | Distance to Entry: $358.60
⌛ 10:11:43 | BTC: $69,405.01 | Distance to Entry: $355.01
⌛ 10:12:14 | BTC: $69,378.95 | Distance to Entry: $328.95
⌛ 10:12:44 | BTC: $69,405.02 | Distance to Entry: $355.02
⌛ 10:13:14 | BTC: $69,422.37 | Distance to Entry: $372.37
⌛ 10:13:44 | BTC: $69,444.35 | Distance to Entry: $394.35
⌛ 10:14:14 | BTC: $69,435.89 | Distance to Entry: $385.89
⌛ 10:14:44 | BTC: $69,446.13 | Distance to Entry: $396.13
⌛ 10:15:14 | BTC: $69,460.92 | Distance to Entry: $410.92
⌛ 10:15:44 | BTC: $69,510.59 | Distance to Entry: $460.59
⌛ 10:16:15 | BTC: $69,495.77 | Distance to Entry: $445.77
⌛ 10:16:45 | BTC: $69,508.04 | Distance to Entry: $458.04
⌛ 10:17:15 | BTC: $69,479.05 | Distance to Entry: $429.05
⌛ 10:17:45 | BTC: $69,476.91 | Distance to Entry: $426.91
⌛ 10:18:15 | BTC: $69,493.15 | Distance to Entry: $443.15
⌛ 10:18:45 | BTC: $69,491.93 | Distance to Entry: $441.93
⌛ 10:19:15 | BTC: $69,501.01 | Distance to Entry: $451.01
⌛ 10:19:45 | BTC: $69,514.12 | Distance to Entry: $464.12
⌛ 10:20:16 | BTC: $69,518.86 | Distance to Entry: $468.86
⌛ 10:20:46 | BTC: $69,540.82 | Distance to Entry: $490.82
⌛ 10:21:16 | BTC: $69,582.72 | Distance to Entry: $532.72
⌛ 10:21:46 | BTC: $69,585.30 | Distance to Entry: $535.30
⌛ 10:22:16 | BTC: $69,564.41 | Distance to Entry: $514.41
⌛ 10:22:46 | BTC: $69,610.70 | Distance to Entry: $560.70
⌛ 10:23:16 | BTC: $69,576.79 | Distance to Entry: $526.79
⌛ 10:23:47 | BTC: $69,568.57 | Distance to Entry: $518.57
⌛ 10:24:17 | BTC: $69,438.00 | Distance to Entry: $388.00
⌛ 10:24:47 | BTC: $69,405.10 | Distance to Entry: $355.10
⌛ 10:25:17 | BTC: $69,426.46 | Distance to Entry: $376.46
⌛ 10:25:47 | BTC: $69,403.51 | Distance to Entry: $353.51
⌛ 10:26:17 | BTC: $69,413.01 | Distance to Entry: $363.01
⌛ 10:26:47 | BTC: $69,401.19 | Distance to Entry: $351.19
⌛ 10:27:17 | BTC: $69,398.82 | Distance to Entry: $348.82
⌛ 10:27:47 | BTC: $69,384.03 | Distance to Entry: $334.03
⌛ 10:28:18 | BTC: $69,419.52 | Distance to Entry: $369.52
⌛ 10:28:48 | BTC: $69,420.01 | Distance to Entry: $370.01
⌛ 10:29:18 | BTC: $69,419.25 | Distance to Entry: $369.25
⌛ 10:29:48 | BTC: $69,429.76 | Distance to Entry: $379.76
⌛ 10:30:18 | BTC: $69,465.06 | Distance to Entry: $415.06
⌛ 10:30:48 | BTC: $69,469.20 | Distance to Entry: $419.20
⌛ 10:31:18 | BTC: $69,508.56 | Distance to Entry: $458.56
⌛ 10:31:48 | BTC: $69,537.29 | Distance to Entry: $487.29
⌛ 10:32:18 | BTC: $69,573.07 | Distance to Entry: $523.07
⌛ 10:32:49 | BTC: $69,541.07 | Distance to Entry: $491.07
⌛ 10:33:19 | BTC: $69,551.85 | Distance to Entry: $501.85
⌛ 10:33:49 | BTC: $69,576.84 | Distance to Entry: $526.84
⌛ 10:34:19 | BTC: $69,569.69 | Distance to Entry: $519.69
⌛ 10:34:49 | BTC: $69,570.02 | Distance to Entry: $520.02
⌛ 10:35:19 | BTC: $69,565.19 | Distance to Entry: $515.19
⌛ 10:35:49 | BTC: $69,531.30 | Distance to Entry: $481.30
⌛ 10:36:19 | BTC: $69,580.00 | Distance to Entry: $530.00
⌛ 10:36:50 | BTC: $69,600.00 | Distance to Entry: $550.00
⌛ 10:37:20 | BTC: $69,601.68 | Distance to Entry: $551.68
⌛ 10:37:50 | BTC: $69,569.28 | Distance to Entry: $519.28
⌛ 10:38:20 | BTC: $69,575.58 | Distance to Entry: $525.58
⌛ 10:38:50 | BTC: $69,588.00 | Distance to Entry: $538.00
⌛ 10:39:20 | BTC: $69,638.23 | Distance to Entry: $588.23
⌛ 10:39:50 | BTC: $69,643.08 | Distance to Entry: $593.08
⌛ 10:40:20 | BTC: $69,619.48 | Distance to Entry: $569.48
⌛ 10:40:50 | BTC: $69,638.51 | Distance to Entry: $588.51
⌛ 10:41:21 | BTC: $69,605.83 | Distance to Entry: $555.83
⌛ 10:41:51 | BTC: $69,638.00 | Distance to Entry: $588.00
⌛ 10:42:21 | BTC: $69,606.02 | Distance to Entry: $556.02
⌛ 10:42:51 | BTC: $69,623.29 | Distance to Entry: $573.29
⌛ 10:43:21 | BTC: $69,646.66 | Distance to Entry: $596.66
⌛ 10:43:51 | BTC: $69,645.66 | Distance to Entry: $595.66
⌛ 10:44:21 | BTC: $69,622.40 | Distance to Entry: $572.40
⌛ 10:44:51 | BTC: $69,624.16 | Distance to Entry: $574.16
⌛ 10:45:22 | BTC: $69,605.07 | Distance to Entry: $555.07
⌛ 10:45:52 | BTC: $69,647.55 | Distance to Entry: $597.55
⌛ 10:46:22 | BTC: $69,651.36 | Distance to Entry: $601.36
⌛ 10:46:52 | BTC: $69,632.00 | Distance to Entry: $582.00
⌛ 10:47:22 | BTC: $69,601.95 | Distance to Entry: $551.95
⌛ 10:47:52 | BTC: $69,595.77 | Distance to Entry: $545.77
⌛ 10:48:22 | BTC: $69,585.95 | Distance to Entry: $535.95
⌛ 10:48:52 | BTC: $69,589.40 | Distance to Entry: $539.40
⌛ 10:49:22 | BTC: $69,606.89 | Distance to Entry: $556.89
⌛ 10:49:53 | BTC: $69,569.58 | Distance to Entry: $519.58
⌛ 10:50:23 | BTC: $69,616.38 | Distance to Entry: $566.38
⌛ 10:50:53 | BTC: $69,671.00 | Distance to Entry: $621.00
⌛ 10:51:23 | BTC: $69,685.85 | Distance to Entry: $635.85
⌛ 10:51:53 | BTC: $69,709.97 | Distance to Entry: $659.97
⌛ 10:52:23 | BTC: $69,758.63 | Distance to Entry: $708.63
⌛ 10:52:53 | BTC: $69,777.76 | Distance to Entry: $727.76
⌛ 10:53:24 | BTC: $69,752.01 | Distance to Entry: $702.01
⌛ 10:53:54 | BTC: $69,781.95 | Distance to Entry: $731.95
⌛ 10:54:24 | BTC: $69,752.21 | Distance to Entry: $702.21
⌛ 10:54:54 | BTC: $69,751.99 | Distance to Entry: $701.99
⌛ 10:55:24 | BTC: $69,796.26 | Distance to Entry: $746.26
⌛ 10:55:54 | BTC: $69,819.84 | Distance to Entry: $769.84
⌛ 10:56:24 | BTC: $69,816.81 | Distance to Entry: $766.81
⌛ 10:56:54 | BTC: $69,807.07 | Distance to Entry: $757.07
⌛ 10:57:24 | BTC: $69,831.37 | Distance to Entry: $781.37
⌛ 10:57:55 | BTC: $69,811.01 | Distance to Entry: $761.01
⌛ 10:58:25 | BTC: $69,758.00 | Distance to Entry: $708.00
⌛ 10:58:55 | BTC: $69,750.59 | Distance to Entry: $700.59
⌛ 10:59:25 | BTC: $69,742.44 | Distance to Entry: $692.44
⌛ 10:59:55 | BTC: $69,707.57 | Distance to Entry: $657.57
⌛ 11:00:25 | BTC: $69,665.63 | Distance to Entry: $615.63
⌛ 11:00:55 | BTC: $69,648.40 | Distance to Entry: $598.40
⌛ 11:01:26 | BTC: $69,685.98 | Distance to Entry: $635.98
⌛ 11:01:56 | BTC: $69,713.46 | Distance to Entry: $663.46
⌛ 11:02:26 | BTC: $69,690.03 | Distance to Entry: $640.03
⌛ 11:02:56 | BTC: $69,768.32 | Distance to Entry: $718.32
⌛ 11:03:26 | BTC: $69,716.01 | Distance to Entry: $666.01
⌛ 11:03:56 | BTC: $69,727.01 | Distance to Entry: $677.01
⌛ 11:04:26 | BTC: $69,727.01 | Distance to Entry: $677.01
⌛ 11:04:56 | BTC: $69,737.34 | Distance to Entry: $687.34
⌛ 11:05:26 | BTC: $69,744.46 | Distance to Entry: $694.46
⌛ 11:05:57 | BTC: $69,705.42 | Distance to Entry: $655.42
⌛ 11:06:27 | BTC: $69,707.82 | Distance to Entry: $657.82
⌛ 11:06:57 | BTC: $69,692.76 | Distance to Entry: $642.76
⌛ 11:07:27 | BTC: $69,712.40 | Distance to Entry: $662.40
⌛ 11:07:57 | BTC: $69,742.42 | Distance to Entry: $692.42
⌛ 11:08:27 | BTC: $69,750.02 | Distance to Entry: $700.02
⌛ 11:08:57 | BTC: $69,705.28 | Distance to Entry: $655.28
⌛ 11:09:28 | BTC: $69,741.84 | Distance to Entry: $691.84
⌛ 11:09:58 | BTC: $69,695.32 | Distance to Entry: $645.32
⌛ 11:10:28 | BTC: $69,728.00 | Distance to Entry: $678.00
⌛ 11:10:58 | BTC: $69,719.35 | Distance to Entry: $669.35
⌛ 11:11:28 | BTC: $69,657.63 | Distance to Entry: $607.63
⌛ 11:11:58 | BTC: $69,664.81 | Distance to Entry: $614.81
⌛ 11:12:28 | BTC: $69,674.22 | Distance to Entry: $624.22
⌛ 11:12:58 | BTC: $69,664.77 | Distance to Entry: $614.77
⌛ 11:13:29 | BTC: $69,653.11 | Distance to Entry: $603.11
⌛ 11:13:59 | BTC: $69,643.71 | Distance to Entry: $593.71
⌛ 12:39:48 | BTC: $69,535.01 | Distance to Entry: $485.01
CCXT Fetch failed for BTC/USD (coinbase GET https://api.coinbase.com/api/v3/brokerage/market/products/BTC-USD/candles?granularity=ONE_MINUTE&start=1771090049&end=1771090349). Falling back to yfinance.
⌛ 13:32:29 | BTC: $69,838.52 | Distance to Entry: $788.52
⌛ 14:50:39 | BTC: $69,741.40 | Distance to Entry: $691.40
⌛ 16:08:22 | BTC: $69,916.32 | Distance to Entry: $866.32
⌛ 17:13:56 | BTC: $70,169.35 | Distance to Entry: $1,119.35
⌛ 18:20:04 | BTC: $69,855.35 | Distance to Entry: $805.35
⌛ 19:37:47 | BTC: $69,787.97 | Distance to Entry: $737.97
CCXT Fetch failed for BTC/USD (coinbase GET https://api.coinbase.com/api/v3/brokerage/market/products/BTC-USD/candles?granularity=ONE_MINUTE&start=1771116593&end=1771116893). Falling back to yfinance.
⌛ 20:54:53 | BTC: $69,633.02 | Distance to Entry: $583.02
⌛ 20:58:06 | BTC: $69,743.02 | Distance to Entry: $693.02
⌛ 20:58:37 | BTC: $69,718.10 | Distance to Entry: $668.10
⌛ 20:59:07 | BTC: $69,709.75 | Distance to Entry: $659.75
⌛ 20:59:37 | BTC: $69,708.30 | Distance to Entry: $658.30
⌛ 21:03:21 | BTC: $69,808.67 | Distance to Entry: $758.67
⌛ 21:03:51 | BTC: $69,798.43 | Distance to Entry: $748.43
⌛ 21:04:21 | BTC: $69,801.43 | Distance to Entry: $751.43
⌛ 21:04:51 | BTC: $69,771.42 | Distance to Entry: $721.42
⌛ 21:05:21 | BTC: $69,788.45 | Distance to Entry: $738.45
⌛ 21:05:51 | BTC: $69,804.50 | Distance to Entry: $754.50
⌛ 21:06:21 | BTC: $69,820.00 | Distance to Entry: $770.00
⌛ 21:06:51 | BTC: $69,833.47 | Distance to Entry: $783.47
⌛ 21:07:21 | BTC: $69,812.82 | Distance to Entry: $762.82
⌛ 21:07:52 | BTC: $69,829.00 | Distance to Entry: $779.00
⌛ 21:08:22 | BTC: $69,822.93 | Distance to Entry: $772.93
⌛ 21:08:52 | BTC: $69,816.97 | Distance to Entry: $766.97
⌛ 21:09:22 | BTC: $69,822.84 | Distance to Entry: $772.84
⌛ 21:09:52 | BTC: $69,840.95 | Distance to Entry: $790.95
⌛ 21:10:22 | BTC: $69,835.28 | Distance to Entry: $785.28
⌛ 21:10:52 | BTC: $69,829.38 | Distance to Entry: $779.38
⌛ 21:11:22 | BTC: $69,833.68 | Distance to Entry: $783.68
⌛ 21:11:53 | BTC: $69,826.18 | Distance to Entry: $776.18
⌛ 21:12:23 | BTC: $69,834.08 | Distance to Entry: $784.08
⌛ 21:12:53 | BTC: $69,834.08 | Distance to Entry: $784.08
⌛ 21:13:23 | BTC: $69,825.28 | Distance to Entry: $775.28
⌛ 21:13:53 | BTC: $69,822.00 | Distance to Entry: $772.00
⌛ 21:14:23 | BTC: $69,818.00 | Distance to Entry: $768.00
⌛ 21:14:53 | BTC: $69,829.94 | Distance to Entry: $779.94
⌛ 21:15:23 | BTC: $69,831.37 | Distance to Entry: $781.37
⌛ 21:15:53 | BTC: $69,828.81 | Distance to Entry: $778.81
⌛ 21:16:23 | BTC: $69,836.76 | Distance to Entry: $786.76
⌛ 21:16:54 | BTC: $69,841.04 | Distance to Entry: $791.04
⌛ 21:17:24 | BTC: $69,804.72 | Distance to Entry: $754.72
⌛ 21:17:54 | BTC: $69,806.62 | Distance to Entry: $756.62
⌛ 21:18:24 | BTC: $69,836.33 | Distance to Entry: $786.33
⌛ 21:18:54 | BTC: $69,825.86 | Distance to Entry: $775.86
⌛ 21:19:24 | BTC: $69,800.41 | Distance to Entry: $750.41
⌛ 21:19:54 | BTC: $69,792.58 | Distance to Entry: $742.58
⌛ 21:20:24 | BTC: $69,782.55 | Distance to Entry: $732.55
⌛ 21:20:54 | BTC: $69,651.99 | Distance to Entry: $601.99
⌛ 21:21:25 | BTC: $69,574.07 | Distance to Entry: $524.07
⌛ 21:21:55 | BTC: $69,564.43 | Distance to Entry: $514.43
⌛ 21:22:25 | BTC: $69,589.26 | Distance to Entry: $539.26
⌛ 21:22:55 | BTC: $69,575.04 | Distance to Entry: $525.04
⌛ 21:23:25 | BTC: $69,567.05 | Distance to Entry: $517.05
⌛ 21:23:55 | BTC: $69,572.70 | Distance to Entry: $522.70
⌛ 21:24:25 | BTC: $69,524.10 | Distance to Entry: $474.10
⌛ 21:24:55 | BTC: $69,540.95 | Distance to Entry: $490.95
⌛ 21:25:25 | BTC: $69,575.44 | Distance to Entry: $525.44
⌛ 21:25:56 | BTC: $69,585.11 | Distance to Entry: $535.11
⌛ 21:26:26 | BTC: $69,572.71 | Distance to Entry: $522.71
⌛ 21:26:56 | BTC: $69,588.79 | Distance to Entry: $538.79
⌛ 21:27:26 | BTC: $69,599.52 | Distance to Entry: $549.52
⌛ 21:27:56 | BTC: $69,570.01 | Distance to Entry: $520.01
⌛ 21:28:26 | BTC: $69,530.88 | Distance to Entry: $480.88
⌛ 21:28:57 | BTC: $69,478.02 | Distance to Entry: $428.02
⌛ 21:29:27 | BTC: $69,475.97 | Distance to Entry: $425.97
⌛ 21:29:57 | BTC: $69,511.99 | Distance to Entry: $461.99
⌛ 21:30:27 | BTC: $69,516.49 | Distance to Entry: $466.49
⌛ 21:30:57 | BTC: $69,546.01 | Distance to Entry: $496.01
⌛ 21:31:27 | BTC: $69,523.03 | Distance to Entry: $473.03
⌛ 21:31:58 | BTC: $69,543.72 | Distance to Entry: $493.72
⌛ 21:32:28 | BTC: $69,545.28 | Distance to Entry: $495.28
⌛ 21:32:58 | BTC: $69,523.91 | Distance to Entry: $473.91
⌛ 21:33:28 | BTC: $69,521.09 | Distance to Entry: $471.09
⌛ 21:33:58 | BTC: $69,541.13 | Distance to Entry: $491.13
⌛ 21:34:28 | BTC: $69,510.61 | Distance to Entry: $460.61
⌛ 21:34:58 | BTC: $69,544.04 | Distance to Entry: $494.04
⌛ 21:35:28 | BTC: $69,498.19 | Distance to Entry: $448.19
⌛ 21:35:59 | BTC: $69,501.69 | Distance to Entry: $451.69
⌛ 21:36:29 | BTC: $69,416.02 | Distance to Entry: $366.02
⌛ 21:36:59 | BTC: $69,446.38 | Distance to Entry: $396.38
⌛ 21:37:29 | BTC: $69,463.72 | Distance to Entry: $413.72
⌛ 21:37:59 | BTC: $69,474.02 | Distance to Entry: $424.02
⌛ 21:38:29 | BTC: $69,593.75 | Distance to Entry: $543.75
⌛ 21:38:59 | BTC: $69,568.56 | Distance to Entry: $518.56
⌛ 21:39:29 | BTC: $69,585.12 | Distance to Entry: $535.12
⌛ 21:39:59 | BTC: $69,548.92 | Distance to Entry: $498.92
⌛ 21:40:29 | BTC: $69,586.00 | Distance to Entry: $536.00
⌛ 21:41:00 | BTC: $69,588.01 | Distance to Entry: $538.01
⌛ 21:41:30 | BTC: $69,605.39 | Distance to Entry: $555.39
⌛ 21:42:00 | BTC: $69,618.25 | Distance to Entry: $568.25
⌛ 21:42:30 | BTC: $69,630.29 | Distance to Entry: $580.29
⌛ 21:43:00 | BTC: $69,568.56 | Distance to Entry: $518.56
⌛ 21:43:30 | BTC: $69,543.67 | Distance to Entry: $493.67
⌛ 21:44:00 | BTC: $69,400.00 | Distance to Entry: $350.00
⌛ 21:44:30 | BTC: $69,364.03 | Distance to Entry: $314.03
⌛ 21:45:00 | BTC: $69,366.20 | Distance to Entry: $316.20
⌛ 21:45:30 | BTC: $69,361.21 | Distance to Entry: $311.21
⌛ 21:46:00 | BTC: $69,377.66 | Distance to Entry: $327.66
⌛ 21:46:31 | BTC: $69,357.78 | Distance to Entry: $307.78
⌛ 21:47:01 | BTC: $69,386.39 | Distance to Entry: $336.39
⌛ 21:47:31 | BTC: $69,402.96 | Distance to Entry: $352.96
⌛ 21:48:01 | BTC: $69,426.70 | Distance to Entry: $376.70
⌛ 21:48:31 | BTC: $69,432.01 | Distance to Entry: $382.01
⌛ 21:49:01 | BTC: $69,431.98 | Distance to Entry: $381.98
⌛ 21:49:31 | BTC: $69,454.24 | Distance to Entry: $404.24
⌛ 21:50:01 | BTC: $69,468.93 | Distance to Entry: $418.93
⌛ 21:50:31 | BTC: $69,491.24 | Distance to Entry: $441.24
⌛ 21:51:01 | BTC: $69,513.60 | Distance to Entry: $463.60
⌛ 21:51:32 | BTC: $69,504.03 | Distance to Entry: $454.03
⌛ 21:52:02 | BTC: $69,511.40 | Distance to Entry: $461.40
⌛ 21:52:32 | BTC: $69,520.40 | Distance to Entry: $470.40
⌛ 21:53:02 | BTC: $69,532.23 | Distance to Entry: $482.23
⌛ 21:53:32 | BTC: $69,552.00 | Distance to Entry: $502.00
⌛ 21:54:02 | BTC: $69,527.83 | Distance to Entry: $477.83
⌛ 21:54:32 | BTC: $69,560.28 | Distance to Entry: $510.28
⌛ 21:55:02 | BTC: $69,552.51 | Distance to Entry: $502.51
⌛ 21:55:33 | BTC: $69,561.14 | Distance to Entry: $511.14
⌛ 21:56:03 | BTC: $69,576.28 | Distance to Entry: $526.28
⌛ 21:56:33 | BTC: $69,602.00 | Distance to Entry: $552.00
⌛ 21:57:03 | BTC: $69,599.88 | Distance to Entry: $549.88
⌛ 21:57:33 | BTC: $69,641.47 | Distance to Entry: $591.47
⌛ 21:58:03 | BTC: $69,628.35 | Distance to Entry: $578.35
⌛ 21:58:33 | BTC: $69,632.00 | Distance to Entry: $582.00
⌛ 21:59:03 | BTC: $69,650.00 | Distance to Entry: $600.00
⌛ 21:59:33 | BTC: $69,662.73 | Distance to Entry: $612.73
⌛ 22:00:03 | BTC: $69,672.06 | Distance to Entry: $622.06
⌛ 22:00:34 | BTC: $69,673.82 | Distance to Entry: $623.82
⌛ 22:01:04 | BTC: $69,678.97 | Distance to Entry: $628.97
⌛ 22:01:34 | BTC: $69,658.21 | Distance to Entry: $608.21
⌛ 22:02:04 | BTC: $69,655.97 | Distance to Entry: $605.97
⌛ 22:02:34 | BTC: $69,622.36 | Distance to Entry: $572.36
⌛ 22:03:04 | BTC: $69,601.94 | Distance to Entry: $551.94
⌛ 22:03:34 | BTC: $69,582.72 | Distance to Entry: $532.72
⌛ 22:04:04 | BTC: $69,589.92 | Distance to Entry: $539.92
⌛ 22:04:34 | BTC: $69,562.31 | Distance to Entry: $512.31
⌛ 22:05:05 | BTC: $69,610.27 | Distance to Entry: $560.27
⌛ 22:05:35 | BTC: $69,614.11 | Distance to Entry: $564.11
⌛ 22:06:05 | BTC: $69,618.24 | Distance to Entry: $568.24
⌛ 22:06:35 | BTC: $69,692.75 | Distance to Entry: $642.75
⌛ 22:07:05 | BTC: $69,701.98 | Distance to Entry: $651.98
⌛ 22:07:35 | BTC: $69,680.38 | Distance to Entry: $630.38
⌛ 22:08:05 | BTC: $69,662.36 | Distance to Entry: $612.36
⌛ 22:08:35 | BTC: $69,568.56 | Distance to Entry: $518.56
⌛ 22:09:05 | BTC: $69,481.63 | Distance to Entry: $431.63
⌛ 22:09:36 | BTC: $69,465.07 | Distance to Entry: $415.07
⌛ 22:10:06 | BTC: $69,469.20 | Distance to Entry: $419.20
⌛ 22:10:36 | BTC: $69,466.08 | Distance to Entry: $416.08
⌛ 22:11:06 | BTC: $69,455.83 | Distance to Entry: $405.83
⌛ 22:11:36 | BTC: $69,456.80 | Distance to Entry: $406.80
⌛ 22:12:06 | BTC: $69,456.99 | Distance to Entry: $406.99
⌛ 22:12:36 | BTC: $69,482.80 | Distance to Entry: $432.80
⌛ 22:13:06 | BTC: $69,513.61 | Distance to Entry: $463.61
⌛ 22:13:36 | BTC: $69,517.97 | Distance to Entry: $467.97
⌛ 22:14:06 | BTC: $69,517.98 | Distance to Entry: $467.98
⌛ 22:14:37 | BTC: $69,523.02 | Distance to Entry: $473.02
⌛ 22:15:07 | BTC: $69,502.32 | Distance to Entry: $452.32
⌛ 22:15:37 | BTC: $69,527.15 | Distance to Entry: $477.15
